ctx,n_disc,p_up_disc,n_val,p_up_val,edge_disc,edge_val,same_side,pattern
63,2171,0.5347766006448641,2257,0.4944616747895436,0.0347766006448641,0.005538325210456385,False,DJ-DJ-WS
67,2128,0.5225563909774437,2287,0.4980323567993004,0.022556390977443663,0.001967643200699587,False,DJ-WS-DJ
53,5523,0.4812601846822379,5992,0.4953271028037383,0.018739815317762087,0.004672897196261683,True,DJ-SB-WS
38,6087,0.48217512732051915,6504,0.49384993849938497,0.017824872679480852,0.006150061500615034,True,WB-DJ-WS
62,682,0.4838709677419355,776,0.5051546391752577,0.016129032258064502,0.005154639175257714,False,DJ-DJ-DJ
72,1945,0.5151670951156813,2105,0.5244655581947744,0.015167095115681262,0.02446555819477436,True,DJ-SS-DJ
113,5449,0.5145898329968802,5846,0.48853917208347586,0.014589832996880214,0.011460827916524141,False,SS-DJ-WS
64,1898,0.5142255005268704,2022,0.49357072205736896,0.014225500526870438,0.00642927794263104,False,DJ-DJ-SS
60,1915,0.5127937336814622,1982,0.4919273461150353,0.012793733681462194,0.008072653884964698,False,DJ-DJ-SB
37,2072,0.4874517374517375,2257,0.4966770048737262,0.012548262548262523,0.00332299512627382,True,WB-DJ-DJ
42,6152,0.5115409622886866,6584,0.4974179829890644,0.011540962288686618,0.002582017010935578,False,WB-WS-DJ
39,5417,0.5102455233524091,6038,0.5003312355084465,0.010245523352409136,0.0003312355084464924,True,WB-DJ-SS
54,5111,0.5100763060066523,5222,0.504212945231712,0.010076306006652325,0.004212945231712006,True,DJ-SB-SS
10,5033,0.5100337770713292,5331,0.49765522416057023,0.010033777071329242,0.002344775839429769,False,SB-DJ-SB
11,5520,0.509963768115942,5925,0.4978902953586498,0.009963768115942018,0.002109704641350185,False,SB-DJ-WB
75,14236,0.5099044675470638,15538,0.4996138499163342,0.009904467547063756,0.00038615008366582604,False,WS-SB-SB
12,1997,0.5097646469704556,2044,0.50293542074364,0.009764646970455648,0.0029354207436399493,True,SB-DJ-DJ
70,5053,0.50920245398773,5564,0.5041337167505392,0.009202453987730008,0.004133716750539196,True,DJ-SS-SB
87,2090,0.4909090909090909,2175,0.4827586206896552,0.009090909090909094,0.017241379310344807,True,WS-DJ-DJ
7,5541,0.5089334055224689,5932,0.5067430883344571,0.008933405522468907,0.006743088334457137,True,SB-WB-DJ
52,1973,0.49113025848960973,2082,0.5024015369836695,0.008869741510390272,0.0024015369836695166,False,DJ-SB-DJ
17,5501,0.5088165788038539,5956,0.4894224311618536,0.008816578803853892,0.010577568838146423,False,SB-WS-DJ
117,5497,0.4915408404584319,5969,0.5087954431228011,0.008459159541568118,0.008795443122801117,False,SS-WS-DJ
88,6014,0.492184901895577,6622,0.4918453639383872,0.00781509810442299,0.008154636061612819,True,WS-DJ-WS
118,16011,0.49291112360252326,17337,0.4935686681663494,0.00708887639747674,0.006431331833650578,True,SS-WS-WS
112,1937,0.4930304594734125,2073,0.5118186203569706,0.006969540526587492,0.011818620356970566,False,SS-DJ-DJ
58,6105,0.49303849303849306,6761,0.49534092589853573,0.006961506961506936,0.004659074101464267,True,DJ-WB-WS
29,14604,0.5068474390577924,15690,0.49751434034416825,0.006847439057792393,0.002485659655831751,False,WB-SB-SS
73,5474,0.4934234563390574,5998,0.5098366122040681,0.006576543660942624,0.009836612204068063,False,DJ-SS-WS
2,5006,0.506392329204954,5450,0.49486238532110094,0.006392329204954028,0.005137614678899061,False,SB-SB-DJ
114,5020,0.5063745019920318,5456,0.49266862170087977,0.0063745019920318224,0.007331378299120228,False,SS-DJ-SS
57,2139,0.49368863955119213,2388,0.5171691792294807,0.006311360448807868,0.01716917922948069,False,DJ-WB-DJ
82,6017,0.4937676583014791,6525,0.49992337164750955,0.006232341698520882,7.662835249044875e-05,True,WS-WB-DJ
89,5521,0.49393225864879553,6124,0.5014696276943175,0.00606774135120447,0.0014696276943174658,False,WS-DJ-SS
40,15902,0.5059112061375928,17156,0.4987759384471905,0.005911206137592773,0.001224061552809519,False,WB-WS-SB
74,5004,0.4942046362909672,5596,0.4994639027877055,0.005795363709032775,0.0005360972122944729,True,DJ-SS-SS
4,13156,0.5057768318637884,14104,0.5003545093590471,0.005776831863788412,0.0003545093590471282,True,SB-SB-SS
21,14445,0.505711318795431,15477,0.49738321380112427,0.005711318795430964,0.0026167861988757313,False,SB-SS-WB
120,12952,0.5056361951822113,14319,0.5079265311823451,0.005636195182211257,0.007926531182345098,True,SS-SS-SB
43,17626,0.4943832974015659,19035,0.4988179669030733,0.005616702598434109,0.0011820330969267157,True,WB-WS-WS
102,5002,0.49440223910435827,5385,0.4948932219127205,0.005597760895641735,0.0051067780872794954,True,SS-SB-DJ
100,13193,0.5055711362085955,14321,0.5045038754276936,0.005571136208595506,0.004503875427693593,True,SS-SB-SB
36,6023,0.4944379877137639,6791,0.5013989103224856,0.0055620122862360954,0.0013989103224856247,False,WB-DJ-WB
122,5056,0.5055379746835443,5409,0.5135884636716583,0.005537974683544333,0.013588463671658335,True,SS-SS-DJ
110,5066,0.4944729569680221,5344,0.5076721556886228,0.005527043031977874,0.007672155688622784,False,SS-DJ-SB
92,6187,0.5054145789558753,6733,0.49443041734739346,0.005414578955875271,0.005569582652606542,False,WS-WS-DJ
80,15769,0.494641384995878,17050,0.501524926686217,0.0053586150041219915,0.0015249266862169542,False,WS-WB-SB
77,5668,0.4947071277346507,5963,0.4883447928894852,0.005292872265349302,0.01165520711051482,True,WS-SB-DJ
0,13292,0.49495937405958473,14247,0.5089492524742051,0.0050406259404152665,0.008949252474205083,False,SB-SB-SB
